-3.182,-0.668,1.449,0.158,0.682,-0.395,0.084,0.141,-0.014,-0.038,0.098,0.291,0.604,-0.528,0.458,-0.263,0.105,-0.168,0.149,-0.067,0.174,-0.193,0.297,-0.482,-0.326,-0.262,0.014
-1.557,-1.256,0.130,0.314,-0.391,0.552,-0.507,0.236,-0.409,0.405,-0.060,0.286,0.485,-0.563,0.516,-0.011,-0.217,-0.005,0.470,-0.341,0.219,0.056,0.039,-0.135,0.127,0.364,-0.057
-2.216,-1.200,0.663,0.632,-0.514,0.749,-0.654,0.121,-0.114,0.099,0.183,0.575,0.709,-0.483,0.286,-0.032,-0.121,0.151,-0.137,0.127,-0.239,0.123,-0.098,0.233,0.280,0.184,-0.073
-2.054,-0.220,2.293,-1.023,0.926,-0.324,0.308,-0.230,0.077,-0.204,0.536,0.213,-0.232,0.140,0.022,0.094,-0.176,0.160,-0.017,0.026,-0.120,0.098,-0.116,0.260,0.204,-0.011,0.037
-0.338,2.056,-0.146,-2.284,0.284,1.002,-1.432,-0.519,1.121,0.022,-1.198,-0.422,0.814,-0.692,-0.381,0.745,-0.090,-0.494,0.245,0.188,-0.515,0.163,0.321,-0.198,0.349,0.044,0.127
-2.400,-2.142,0.924,0.946,-0.291,0.474,-0.449,0.172,-0.018,-0.050,0.124,-0.056,-0.265,0.303,-0.268,0.220,-0.163,0.210,-0.062,0.009,-0.088,0.175,-0.272,0.121,-0.215,-0.254,0.051
-2.269,-1.976,0.787,0.789,-0.212,0.410,-0.456,0.250,-0.219,0.180,0.093,0.202,0.066,0.140,-0.146,0.034,0.016,-0.010,0.049,-0.036,0.021,0.037,-0.032,-0.079,-0.102,0.048,-0.058
-2.723,-1.348,1.240,0.659,-0.039,0.273,-0.458,0.397,-0.244,0.295,-0.388,-0.361,-0.234,0.215,-0.030,-0.156,0.058,0.057,-0.017,-0.026,0.034,-0.065,0.252,-0.301,-0.081,0.108,-0.167
-3.015,-1.140,1.736,0.556,0.297,-0.320,0.194,0.328,-0.305,0.120,0.082,0.106,0.106,0.051,-0.122,0.060,0.017,-0.053,0.009,0.020,0.016,-0.035,0.026,-0.027,-0.011,-0.129,0.119
-3.678,2.771,0.215,-0.881,0.779,-0.846,1.023,-0.542,0.576,-0.435,0.156,-0.130,-0.365,0.446,-0.623,0.507,-0.250,0.189,-0.088,-0.007,0.082,-0.094,0.124,-0.202,-0.131,-0.092,0.018
-0.503,1.404,0.047,-2.097,0.631,0.487,-1.103,-0.291,1.012,-0.619,-0.307,-0.237,0.400,-0.631,0.181,0.446,-0.331,-0.180,0.672,-0.345,-0.095,0.453,-0.297,0.016,0.032,0.378,-0.081
0.067,0.097,-2.590,-1.068,0.172,-0.532,0.745,-0.428,0.005,0.414,-0.347,0.158,0.341,-0.162,0.021,-0.061,0.056,-0.018,0.030,-0.074,0.226,-0.169,-0.135,0.287,0.070,-0.052,-0.082
-1.283,-1.305,1.704,-0.652,0.886,-0.420,-0.427,0.363,0.374,-0.699,0.434,0.519,0.562,-0.255,0.243,0.067,-0.278,0.140,0.238,-0.139,0.338,-0.525,0.337,-0.293,-0.516,-0.011,-0.394
-2.099,-0.074,2.589,-0.524,-0.216,0.427,0.956,-1.230,0.187,0.150,1.032,1.053,-0.140,0.450,0.007,-0.149,-0.159,0.326,0.006,-0.122,-0.037,0.304,-0.386,0.126,-0.162,0.174,-0.131
-2.510,1.013,1.807,-1.027,0.443,0.021,0.730,-1.277,0.776,0.179,0.138,0.775,0.511,0.062,-0.011,-0.304,0.115,0.122,-0.203,0.083,-0.258,0.361,-0.484,0.479,0.150,0.314,-0.240
-3.359,-0.367,1.824,-0.014,0.709,-0.274,0.138,-0.209,0.408,-0.068,-0.158,-0.017,0.258,-0.081,-0.241,0.245,-0.010,-0.101,-0.059,0.141,-0.159,0.010,-0.046,0.298,0.324,-0.110,0.190
-2.260,-1.347,0.883,0.134,0.364,-0.232,0.375,-0.425,0.468,-0.405,0.629,0.827,0.658,-0.132,-0.195,0.261,-0.176,0.183,0.033,-0.172,0.484,-0.422,0.298,-0.144,0.117,0.344,-0.223
-1.518,-2.333,0.845,-0.114,0.774,-0.632,0.653,-0.580,0.800,-0.812,0.763,0.459,0.145,0.105,0.054,-0.401,0.565,-0.782,0.621,-0.301,0.426,-0.224,0.162,-0.260,-0.233,-0.223,0.109
-3.363,0.032,1.233,-0.138,0.913,-0.842,0.780,-0.317,0.387,-0.467,0.560,0.676,0.777,-0.552,0.479,-0.294,0.092,-0.109,0.177,-0.200,0.520,-0.498,0.497,-0.406,0.048,0.392,-0.263
-3.820,0.425,1.458,0.028,0.689,-0.552,0.574,-0.327,0.521,-0.517,0.384,0.180,0.083,0.028,-0.022,-0.057,0.088,-0.157,0.148,-0.105,0.200,-0.132,0.092,-0.103,-0.048,-0.032,0.023
-3.154,-0.219,1.004,0.110,0.528,-0.366,0.196,0.029,0.134,-0.269,0.310,0.242,0.173,-0.012,-0.065,0.037,0.051,-0.170,0.269,-0.226,0.483,-0.398,0.334,-0.261,0.010,0.161,-0.116
-2.612,-0.231,1.541,-0.683,1.155,-0.488,-0.165,0.046,0.461,-0.548,0.312,0.369,0.686,-0.496,0.045,0.227,0.025,-0.426,0.523,-0.250,0.337,-0.235,0.188,-0.034,0.284,0.009,0.263
